0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
 44.25, 75, 76, 96, 81, 76, 112, 71, 74, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 44.40, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 44.45, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 45.05, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 45.10, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 45.25, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 67, 77, 64, 77, 
 45.30, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 76, 75, 77, 64, 77, 
 45.35, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 45.40, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 45.50, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 45.75, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 45.80, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 45.85, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 46.00, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 46.10, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 46.40, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.05, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.10, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.20, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.30, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.35, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.55, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.70, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.85, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 47.95, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 62, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.25, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.40, 75, 76, 96, 81, 76, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.50, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.55, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.60, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.65, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.70, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.75, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.80, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.90, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 48.95, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.00, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.10, 75, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.30, 74, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.40, 74, 76, 96, 81, 73, 112, 71, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.60, 74, 76, 96, 81, 73, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.65, 74, 76, 96, 81, 73, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.70, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.80, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 49.85, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.05, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 71, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.10, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.15, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.30, 74, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.35, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.45, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.50, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.60, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.70, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.80, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 50.85, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.00, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.10, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.15, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.20, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.25, 73, 76, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.30, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.40, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.60, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.65, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.75, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.80, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
 51.85, 73, 72, 96, 81, 72, 112, 70, 73, 70, 73, 75, 77, 67, 75, 75, 75, 75, 77, 64, 77, 
